
===== clang++-22  group 10  (launches: {'base': 5, 'T': 5, 'F': 5, 'H': 5}) =====
vt                     algo                             base         T     T d%         F     F d%         H     H d%
5MyInt                 find_if_not(hit)                0.060     0.060    +0.0%     0.060    +0.0%     0.060    +0.0%
5MyInt                 find_if_not(miss)               0.122     0.122    +0.0%     0.122    +0.0%     0.122    +0.0%
5MyInt                 for_each                        0.059     0.059    +0.0%     0.059    +0.0%     0.059    +0.0%
5MyInt                 generate                        0.147     0.147    +0.0%     0.147    +0.0%     0.147    +0.0%
5MyInt                 generate_n                      0.150     0.150    +0.0%     0.150    +0.0%     0.150    +0.0%
5MyInt                 is_partitioned(hit)             0.098     0.098    +0.0%     0.098    +0.0%     0.098    +0.0%
5MyInt                 is_partitioned(miss)            0.055     0.055    +0.0%     0.055    +0.0%     0.055    +0.0%
5MyInt                 none_of(hit)                    0.098     0.098    +0.0%     0.098    +0.0%     0.098    +0.0%
5MyInt                 none_of(miss)                   0.058     0.058    +0.0%     0.058    +0.0%     0.058    +0.0%
5MyInt                 replace(hit)                    0.226     0.227    +0.4%     0.226    +0.0%     0.225    -0.4%
5MyInt                 replace(miss)                   0.173     0.173    +0.0%     0.173    +0.0%     0.173    +0.0%
5MyInt                 replace_if(hit)                 0.139     0.139    +0.0%     0.139    +0.0%     0.139    +0.0%
5MyInt                 replace_if(miss)                0.230     0.286   +24.3%     0.230    +0.0%     0.230    +0.0%
8MyFatIntILm4EE        all_of(hit)                     0.140     0.141    +0.7%     0.139    -0.7%     0.140    +0.0%
8MyFatIntILm4EE        all_of(miss)                    0.063     0.063    +0.0%     0.065    +3.2%     0.062    -1.6%
8MyFatIntILm4EE        any_of(hit)                     0.065     0.064    -1.5%     0.065    +0.0%     0.064    -1.5%
8MyFatIntILm4EE        any_of(miss)                    0.140     0.141    +0.7%     0.141    +0.7%     0.141    +0.7%
8MyFatIntILm4EE        count(hit)                      0.231     0.233    +0.9%     0.233    +0.9%     0.232    +0.4%
8MyFatIntILm4EE        count(miss)                     0.231     0.231    +0.0%     0.233    +0.9%     0.232    +0.4%
8MyFatIntILm4EE        count_if(hit)                   0.205     0.204    -0.5%     0.205    +0.0%     0.206    +0.5%
8MyFatIntILm4EE        count_if(miss)                  0.231     0.229    -0.9%     0.228    -1.3%     0.231    +0.0%
8MyFatIntILm4EE        fill                            0.135     0.281  +108.1%     0.285  +111.1%     0.135    +0.0%
8MyFatIntILm4EE        fill_n                          0.135     0.134    -0.7%     0.135    +0.0%     0.135    +0.0%
8MyFatIntILm4EE        find(hit)                       0.072     0.072    +0.0%     0.072    +0.0%     0.071    -1.4%
8MyFatIntILm4EE        find(miss)                      0.154     0.155    +0.6%     0.156    +1.3%     0.156    +1.3%
8MyFatIntILm4EE        find_if(hit)                    0.072     0.071    -1.4%     0.070    -2.8%     0.071    -1.4%
8MyFatIntILm4EE        find_if(miss)                   0.155     0.155    +0.0%     0.155    +0.0%     0.155    +0.0%
8MyFatIntILm4EE        find_if_not(hit)                0.071     0.071    +0.0%     0.070    -1.4%     0.071    +0.0%
8MyFatIntILm4EE        find_if_not(miss)               0.155     0.155    +0.0%     0.154    -0.6%     0.155    +0.0%
8MyFatIntILm4EE        for_each                        0.235     0.234    -0.4%     0.234    -0.4%     0.235    +0.0%
8MyFatIntILm4EE        generate                        0.464     0.464    +0.0%     0.464    +0.0%     0.464    +0.0%
8MyFatIntILm4EE        generate_n                      0.464     0.464    +0.0%     0.464    +0.0%     0.464    +0.0%
8MyFatIntILm4EE        is_partitioned(hit)             0.140     0.141    +0.7%     0.140    +0.0%     0.141    +0.7%
8MyFatIntILm4EE        is_partitioned(miss)            0.061     0.062    +1.6%     0.058    -4.9%     0.060    -1.6%
8MyFatIntILm4EE        none_of(hit)                    0.141     0.141    +0.0%     0.139    -1.4%     0.141    +0.0%
8MyFatIntILm4EE        none_of(miss)                   0.064     0.064    +0.0%     0.064    +0.0%     0.064    +0.0%
8MyFatIntILm4EE        replace(hit)                    0.237     0.239    +0.8%     0.238    +0.4%     0.238    +0.4%
8MyFatIntILm4EE        replace(miss)                   0.145     0.146    +0.7%     0.147    +1.4%     0.146    +0.7%
8MyFatIntILm4EE        replace_if(hit)                 0.291     0.291    +0.0%     0.290    -0.3%     0.291    +0.0%
8MyFatIntILm4EE        replace_if(miss)                0.168     0.167    -0.6%     0.167    -0.6%     0.169    +0.6%
8MyFatIntILm8EE        all_of(hit)                     0.289     0.288    -0.3%     0.289    +0.0%     0.287    -0.7%
8MyFatIntILm8EE        all_of(miss)                    0.132     0.133    +0.8%     0.132    +0.0%     0.131    -0.8%
8MyFatIntILm8EE        any_of(hit)                     0.133     0.133    +0.0%     0.132    -0.8%     0.132    -0.8%
8MyFatIntILm8EE        any_of(miss)                    0.289     0.293    +1.4%     0.295    +2.1%     0.290    +0.3%
8MyFatIntILm8EE        count(hit)                      0.311     0.312    +0.3%     0.316    +1.6%     0.309    -0.6%
8MyFatIntILm8EE        count(miss)                     0.308     0.312    +1.3%     0.316    +2.6%     0.309    +0.3%
8MyFatIntILm8EE        count_if(hit)                   0.293     0.298    +1.7%     0.298    +1.7%     0.293    +0.0%
8MyFatIntILm8EE        count_if(miss)                  0.301     0.304    +1.0%     0.299    -0.7%     0.300    -0.3%
8MyFatIntILm8EE        fill                            0.538     0.539    +0.2%     0.539    +0.2%     0.538    +0.0%
8MyFatIntILm8EE        fill_n                          0.538     0.539    +0.2%     0.538    +0.0%     0.537    -0.2%
8MyFatIntILm8EE        find(hit)                       0.131     0.132    +0.8%     0.132    +0.8%     0.132    +0.8%
8MyFatIntILm8EE        find(miss)                      0.288     0.293    +1.7%     0.294    +2.1%     0.288    +0.0%
8MyFatIntILm8EE        find_if(hit)                    0.131     0.132    +0.8%     0.132    +0.8%     0.132    +0.8%
8MyFatIntILm8EE        find_if(miss)                   0.288     0.292    +1.4%     0.295    +2.4%     0.288    +0.0%
8MyFatIntILm8EE        find_if_not(hit)                0.131     0.131    +0.0%     0.132    +0.8%     0.131    +0.0%
8MyFatIntILm8EE        find_if_not(miss)               0.288     0.288    +0.0%     0.290    +0.7%     0.288    +0.0%
8MyFatIntILm8EE        for_each                        0.292     0.291    -0.3%     0.293    +0.3%     0.292    +0.0%
8MyFatIntILm8EE        generate                        0.812     0.821    +1.1%     0.825    +1.6%     0.815    +0.4%
8MyFatIntILm8EE        generate_n                      0.582     0.583    +0.2%     0.583    +0.2%     0.582    +0.0%
8MyFatIntILm8EE        is_partitioned(hit)             0.289     0.294    +1.7%     0.294    +1.7%     0.289    +0.0%
8MyFatIntILm8EE        is_partitioned(miss)            0.130     0.131    +0.8%     0.131    +0.8%     0.130    +0.0%
